大分類,分析項目,内容・指標例,主に関係する立地要因
地形高度,標高,絶対標高、海抜高度,気候差、眺望、山城・高地性集落
,比高,周辺低地・河川・谷底との高さの差,防御性、洪水回避、視認性
,相対高度,周囲一定範囲内での高低差,地形的位置、突出性、拠点性
地形傾斜,傾斜度,斜面角、平均傾斜、最大傾斜,居住適性、造成可能性、防御性
,斜面方位,北向き・南向きなど,日照、風、農耕条件、居住快適性
,起伏量,一定範囲内の標高差,山地性・丘陵性、移動困難度
,地形粗度,凹凸の程度、TRIなど,移動コスト、防御性、造成難易度
地形位置,尾根・谷の別,尾根上、谷底、斜面、谷頭、谷口,城郭防御、集落立地、水利
,地形位置指数,TPI、山頂・斜面・谷底判定,周囲に対する高低関係
,台地縁・段丘崖からの距離,崖線・段丘崖・台地端との近接度,防御、湧水、眺望、境界性
,谷口からの距離,山地・丘陵から平野へ出る地点との距離,交通結節、水利、防御
,峠・鞍部からの距離,尾根越え交通路との関係,交通支配、軍事的要衝
地形面,山地・丘陵,山頂、尾根、山腹、山麓,山城、砦、山麓集落
,台地面,ローム台地、火山灰台地、開析台地,集落、畑作、古墳、城館
,段丘面,高位・中位・低位段丘,洪水回避、集落立地、城館
,沖積低地,氾濫原、自然堤防、後背湿地,水田、低地集落、洪水リスク
,扇状地,扇頂、扇央、扇端,水利、湧水、集落・耕地
,海岸地形,砂丘、浜堤、潟湖、岬、湾奥,港湾、交易、製塩、海城
河川・水文,河川からの距離,本流・支流・小河川までの距離,水利、交通、洪水リスク
,河川との比高,河床・河岸・氾濫原との高低差,洪水回避、取水可能性、防御
,河川次数,本流、支流、小支流、水路,流域階層、交通・水利の重要度
,流域区分,大流域・小流域・支谷単位,遺跡群のまとまり、地域圏
,河川合流点からの距離,本支流合流部との近接度,交通結節、城郭・集落集中
,渡河点からの距離,浅瀬、橋梁推定地、河岸段丘の切れ目,街道、交易、軍事的支配
,湧水からの距離,崖線湧水、谷頭湧水、扇端湧水,生活用水、灌漑、祭祀
,湿地・池沼からの距離,後背湿地、沼沢地、潟湖、湖岸,水田、漁撈、防御、水害
河床・河道形態,河床形態,礫床、砂床、砂泥床、泥床,渡河性、取水、河川交通、氾濫
,河道形態,直線流路、蛇行流路、網状流路、分流流路,洪水頻度、自然堤防形成、交通
,河岸形態,攻撃斜面、滑走斜面、段丘崖、低平河岸,侵食リスク、渡河点、城館立地
,旧河道,埋没旧河道、蛇行跡、湿地化流路,洪水、水利、境界、遺構保存
,自然堤防,河道沿い微高地、自然堤防列,低地集落、古代・中世集落
,後背湿地,自然堤防背後の低湿地,水田、居住回避、保存環境
水害・排水,洪水リスク,浸水想定区域、氾濫原、旧河道近接,集落回避、微高地選択
,排水性,水はけ良好・不良、湛水しやすさ,居住適性、農地適性
,地下水位,高地下水位、低地下水位,井戸、湿地、遺構保存
,水利可能性,取水距離、湧水、用水路、扇端湧水,集落・水田・城郭水源
地質,表層地質,ローム、砂礫、砂、シルト、粘土、泥炭、岩盤,地盤、排水、掘削性、農地
,基盤地質,花崗岩、安山岩、凝灰岩、砂岩、泥岩、石灰岩など,山城、石材、斜面安定性
,火山性堆積物,火山灰、軽石、スコリア、火砕流堆積物,台地形成、土壌、崩壊、畑作
,段丘堆積物,砂礫層、ローム被覆、古期扇状地堆積物,安定地盤、排水、井戸
,沖積堆積物,粘土、シルト、砂、砂礫、泥炭,水田、低地集落、軟弱地盤
地盤性状,透水性,高透水性・低透水性、砂礫質・粘土質,湧水、井戸、排水、耕地
,保水性,水を保持しやすい／しにくい地盤,水田・畑作適性
,支持力,岩盤、締まった砂礫層、軟弱粘土層,建物、土塁、石垣、造成
,掘削性,掘りやすいローム・砂、掘りにくい礫・岩盤,竪穴住居、溝、堀、堀切
,崩壊しやすさ,風化岩盤、崩積土、地すべり堆積物,山城、斜面集落、災害リスク
土壌・土地利用適性,土壌区分,黒ボク土、褐色森林土、低地土、グライ土など,農耕適性、土地利用
,水田適性,低地、谷底、後背湿地、粘質土,生産域、集落との関係
,畑作適性,台地、段丘、火山灰土、排水良好地,台地集落、畑作集落
,資源利用,粘土、石材、鉄、砂鉄、塩、森林,生産遺跡、城郭資材
交通・移動,傾斜コスト,傾斜に基づく移動負荷,道路、交易、軍事行動
,河川・谷筋との関係,谷沿い、河川沿い、尾根道,交通路、集落列、城郭配置
,最小コスト経路,LCP、累積コスト距離,遺跡間関係、城郭ネットワーク
,可視性,viewshed、見通し範囲,城郭、古墳、祭祀、烽火
景観・空間関係,可視領域,見える範囲、見られる範囲,支配性、象徴性、防御
,眺望対象,河川、平野、街道、海、聖地,城郭・祭祀・古墳立地
,遺跡間距離,最近隣距離、密度、クラスタ,集落群、城館群、階層性
,地形境界,台地縁、河川、山麓、低地縁,境界性、地域区分、支配範囲
