地質・地盤要素,細分類,分析上の意味
基盤岩,花崗岩、安山岩、玄武岩、砂岩、泥岩、チャート、石灰岩など,山城の造成、石材利用、斜面安定性、土壌形成
堆積岩地域,砂岩泥岩互層、礫岩、凝灰岩,侵食地形、谷の発達、崩壊しやすさ
火山性地質,ローム層、火山灰層、軽石層、スコリア層、火砕流堆積物,台地形成、畑作適性、掘削性、崩壊・浸食
沖積層,砂層、シルト層、粘土層、砂礫層、泥炭層,低地集落、水田、液状化、軟弱地盤
段丘堆積物,砂礫層、ローム被覆段丘、扇状地礫層,安定地盤、排水性、井戸掘削、水はけ
扇状地堆積物,礫質堆積物、砂礫層、扇端細粒堆積物,扇央は水不足、扇端は湧水・集落立地に有利
崩積土・斜面堆積物,崖錐、地すべり堆積物、土石流堆積物,斜面集落・山城のリスク評価
軟弱地盤,泥炭地、厚い粘土層、埋立地、後背湿地,居住回避、低地利用、遺構保存、城郭の水濠
透水性,砂礫質、ローム質、粘土質,湧水・井戸・排水・農業条件
支持力,岩盤、締まった砂礫層、軟弱粘土層,建物・城郭造成・石垣・土塁の安定性
掘削性,掘りやすいローム・砂、掘りにくい礫・岩盤,竪穴住居、溝、堀、堀切、横穴墓に関係
